City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,taltal,-25.4,-70.4833,291.46,61,15,3.94,CL,1726683552
213,ljusdal,61.8288,16.0913,287.2,73,37,0.22,SE,1726683553
214,ilha solteira,-20.4328,-51.3425,308.47,22,1,2.69,BR,1726683554
215,dharmabad,18.9,77.85,296.6,81,31,1.38,IN,1726683555
216,kharkhorin,47.1975,102.8238,272.85,96,100,0.79,MN,1726683556
217,marand,38.4329,45.7749,289.2,61,88,2.68,IR,1726683557
218,kone,-21.0595,164.8658,291.66,68,100,1.58,NC,1726683558
219,conde,-7.2597,-34.9075,300.85,61,75,6.69,BR,1726683559
220,serra branca,-6.5333,-38.2667,306.33,22,0,3.81,BR,1726683560
221,eldorado,-23.7869,-54.2836,302.87,37,0,4.58,BR,1726683561
222,kousseri,12.0769,15.0306,298.88,79,76,5.87,CM,1726683563
223,kodiak,57.79,-152.4072,284.88,62,75,2.06,US,1726683564
224,adiake,5.2863,-3.304,297.89,86,81,4.09,CI,1726683565
225,fortuna,40.5982,-124.1573,290.57,96,100,4.63,US,1726683566
226,tralee,52.2704,-9.7026,290.28,76,0,0.45,IE,1726683567
227,isna,25.2934,32.554,304.4,14,2,4.57,EG,1726683568
228,norton,-17.8833,30.7,294.12,26,0,3.54,ZW,1726683569
229,dwarka,22.2394,68.9678,300.32,79,3,4.72,IN,1726683570
230,qulsary,46.9531,54.0198,289.2,24,15,4.42,KZ,1726683571
231,kristiansund,63.1115,7.732,288.78,82,0,0.0,NO,1726683572
232,huarmey,-10.0681,-78.1522,293.22,71,53,4.61,PE,1726683573
233,zurrieq,35.8311,14.4742,296.88,73,0,3.09,MT,1726683574
234,mili,6.0815,171.735,301.18,73,32,1.21,MH,1726683576
235,placido de castro,-10.3353,-67.1856,314.46,19,4,1.57,BR,1726683578
236,happy valley-goose bay,53.3168,-60.3315,288.32,51,75,1.54,CA,1726683579
237,rumbek,6.802,29.6912,298.89,69,67,1.31,SS,1726683580
238,selkirk,50.1436,-96.8845,298.45,67,92,5.59,CA,1726683493
239,san pedro pochutla,15.7333,-96.4667,306.32,51,76,2.8,MX,1726683583
240,holualoa,19.6228,-155.9522,298.06,91,20,4.12,US,1726683584
241,telimele,10.9167,-13.3333,297.33,94,36,2.27,GN,1726683585
242,xining,36.6167,101.7667,290.45,85,29,0.71,CN,1726683586
243,axim,4.8699,-2.2405,297.62,89,52,3.68,GH,1726683587
244,lorengau,-2.0226,147.2712,300.86,83,69,3.78,PG,1726683589
245,sovetskaya gavan',48.9723,140.2878,280.9,72,2,3.47,RU,1726683590
246,pisco,-13.7,-76.2167,290.38,82,100,3.09,PE,1726683591
247,brandon,27.9378,-82.2859,307.1,66,100,4.02,US,1726683592
248,lerwick,60.1545,-1.1494,285.91,90,24,5.35,GB,1726683593
249,saint-pierre,-21.3393,55.4781,293.97,73,0,3.09,RE,1726683594
250,vorgashor,67.5833,63.95,281.68,88,99,3.41,RU,1726683595
251,kapuskasing,49.4169,-82.4331,301.2,34,40,6.17,CA,1726683596
252,fada,7.25,4.0667,295.99,98,100,0.91,NG,1726683597
253,deoband,29.7,77.6833,296.06,81,100,3.14,IN,1726683598
254,maridi,4.9158,29.4742,296.11,78,67,0.91,SS,1726683599
255,callao,-12.0667,-77.15,294.1,72,100,3.6,PE,1726683601
256,abashiri,44.0213,144.2697,286.94,78,0,4.82,JP,1726683603
257,nyandoma,61.669,40.1991,287.2,64,98,3.47,RU,1726683604
258,usogorsk,63.4106,48.6872,285.86,97,100,2.54,RU,1726683605
259,el tigre,8.8875,-64.2454,306.45,48,16,2.17,VE,1726683606
260,tura,25.5198,90.2201,298.62,88,41,1.06,IN,1726683607
261,freetown,8.484,-13.2299,301.99,79,75,4.63,SL,1726683608
262,manzhouli,49.6,117.4333,277.68,95,100,6.95,CN,1726683609
263,alotau,-10.3069,150.4462,297.03,96,95,1.69,PG,1726683610
264,terrigal,-33.45,151.45,287.14,48,0,5.05,AU,1726683612
265,khandud,36.9513,72.318,285.56,46,25,1.39,AF,1726683613
266,tsiombe,-25.3,45.4833,296.68,75,38,1.54,MG,1726683614
267,anadyr,64.75,177.4833,279.43,81,40,2.0,RU,1726683615
268,tabou,4.423,-7.3528,298.02,88,73,4.46,CI,1726683616
269,pasuquin,18.3328,120.6177,299.12,100,75,2.06,PH,1726683617
270,yulinshi,38.2906,109.7494,296.07,73,59,6.35,CN,1726683618
271,komatsu,36.4026,136.4509,300.14,89,75,2.57,JP,1726683619
272,bim son,20.0781,105.8603,296.95,95,52,2.5,VN,1726683620
273,isangel,-19.55,169.2667,292.31,70,33,4.04,VU,1726683621
274,kalamata,37.0389,22.1142,298.21,67,20,1.03,GR,1726683622
275,priozersk,61.0393,30.1291,287.56,92,100,3.08,RU,1726683623
276,port lincoln,-34.7333,135.8667,286.29,71,42,7.61,AU,1726683626
277,kalinkavichy,52.1323,29.3257,290.27,45,72,0.86,BY,1726683627
278,puerto leguizamo,-0.1934,-74.7819,309.47,35,82,1.19,CO,1726683628
279,hilo,19.7297,-155.09,295.98,94,100,3.6,US,1726683455
280,kapit,2.0167,112.9333,295.79,91,100,0.64,MY,1726683630
281,tazacorte,28.629,-17.9293,295.69,90,40,2.57,ES,1726683631
282,barakani,-12.1356,44.4317,297.78,74,14,0.3,KM,1726683632
283,le vauclin,14.5452,-60.8388,305.18,70,75,4.63,MQ,1726683633
284,naracoorte,-36.9579,140.7383,281.63,98,78,3.13,AU,1726683634
285,pangody,65.85,74.4859,284.41,85,99,0.52,RU,1726683635
286,asubulaq,49.5583,83.0558,278.18,46,0,2.01,KZ,1726683637
287,aroma,15.8167,36.1333,305.06,47,0,1.98,SD,1726683638
